Year,sh_thompson_spawner_count,sh_thompson_p4,sh_thompson_p5,sh_thompson_p6,sh_thompson_p7,sh_thompson_p8,sh_thompson_spawners,sh_thompson_recruits,sh_thompson_lnrs,sh_thompson_SL,sh_thompson_SST,sh_thompson_NPGO,sh_thompson_FN_mortalities,sh_thompson_sport_mortalities,sh_thompson_U_bycatch,sh_thompson_prefishery_N,sh_chilcotin_spawner_count,sh_chilcotin_p4,sh_chilcotin_p5,sh_chilcotin_p6,sh_chilcotin_p7,sh_chilcotin_p8,sh_chilcotin_spawners,sh_chilcotin_recruits,sh_chilcotin_lnrs,sh_chilcotin_SL,sh_chilcotin_SST,sh_chilcotin_NPGO,sh_chilcotin_PDO,sh_chilcotin_FN_mortalities,sh_chilcotin_sport_mortalities,sh_chilcotin_U_bycatch,sh_chilcotin_prefishery_N
1984,1120,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.12,3.449,1.124755649,-0.72124723,-0.303711928,0.128922461,50,838.802085,0.42305019,3481.762276,1133,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.133,0.992,-0.132901154,-0.686039006,-1.350999694,1.489047196,-0.542084322,50,41.16623526,0.42305019,2121.443171
1985,3510,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,3.51,2.181,-0.47583255,-0.686039006,-1.01149843,1.489047196,50,1349.71842,0.42305019,8509.784268,3149,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,3.149,0.98,-1.167287649,-0.649306135,0.701962386,0.40926732,-0.477671307,50,43.32530656,0.42305019,5619.423472
1986,2330,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.33,2.269,-0.026529062,-0.649306135,-1.350999694,0.40926732,50,1141.9318,0.42305019,6104.398921,1992,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.992,1.235,-0.478068189,-0.610961927,0.063574678,-0.205682693,-1.316992416,50,53.38805658,0.42305019,3631.837673
1987,1680,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.68,2.066,0.206820577,-0.610961927,0.701962386,-0.205682693,50,80.74285108,0.42305019,3138.475511,2328,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,2.328,1.882,-0.212674489,-0.570912918,-0.339032938,-0.173126515,0.404591813,50,31.45438858,0.42305019,4176.19409
1988,1500,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.5,4.292,1.051287717,-0.570912918,0.063574678,-0.173126515,50,559.0570587,0.42305019,3655.529512,2342,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,2.342,1.558,-0.407602318,-0.529058217,0.03118128,-1.743057724,0.580263673,50,14.39966533,0.42305019,4171.592783
1989,1670,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.67,4.331,0.952974836,-0.529058217,-0.339032938,-1.743057724,50,267.5331317,0.42305019,3444.897799,610,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.61,1.403,0.832909123,-0.485288782,0.654897794,-1.103690579,0.89842493,50,86.72580856,0.42305019,1293.57146
1990,1200,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.2,3.917,1.183004498,-0.485288782,0.03118128,-1.103690579,50,77.87723487,0.42305019,2301.547225,403,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.403,1.13,1.03103635,-0.439486617,0.296112294,-0.391072035,-0.620160704,50,37.45195702,0.42305019,850.4239852
1991,1200,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.2,1.5,0.223143551,-0.439486617,0.654897794,-0.391072035,50,36.2349992,0.42305019,2229.370694,466,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.466,1.344,1.059219887,-0.39152389,-0.259975541,-1.478990954,0.919895936,50,45.97981541,0.42305019,973.3599098
1992,900,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.9,3.423,1.335877875,-0.39152389,0.296112294,-1.478990954,50,36.51798504,0.42305019,1709.885275,542,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.542,1.092,0.700500155,-0.341261945,-0.111411929,-1.271897494,0.550985029,50,33.11404816,0.42305019,1084.174112
1993,2960,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.96,2.217,-0.289034338,-0.341261945,-0.259975541,-1.271897494,50,129.7255557,0.289,4415.929052,1546,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.546,0.914,-0.525595658,-0.288550222,1.204387737,-0.911970869,1.499613074,50,40.23123382,0.289,2300.747164
1994,2660,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.66,3.311,0.218924136,-0.288550222,-0.111411929,-0.911970869,50,129.497533,0.244,3755.949118,917,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.917,0.941,0.025835667,-0.23322505,-0.353596297,0.132539815,-0.72751573,50,4.511151201,0.244,1284.80311
1995,2590,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.59,1.503,-0.544194765,-0.23322505,1.204387737,0.132539815,50,133.9419333,0.4255,4828.445489,830,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.83,1.243,0.403857391,-0.175108313,-1.260334688,1.332596678,-1.344319149,50,5.899521531,0.4255,1542.731978
1996,1020,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.02,2.234,0.783991073,-0.175108313,-0.353596297,1.332596678,50,70.09225954,0.337,1719.596168,518,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.518,1.274,0.899941594,-0.114005976,0.252657552,1.888764704,0.072767188,50,3.502392344,0.337,862.5978768
1997,3000,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,3,3.347,0.109452134,-0.114005976,-1.260334688,1.888764704,50,115.2885299,0.1095,3554.507052,1373,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.373,1.04,-0.277777414,-0.049706443,-0.8575587,1.648210728,-0.823159298,50,4.04784689,0.1095,1602.29966
1998,1470,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.47,1.789,0.196394404,-0.049706443,0.252657552,1.648210728,50,98.51580986,0.2315,2106.071321,672,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.672,0.55,-0.200340062,0.018021256,0.349566362,0.878618874,1.501564983,50,1.888640127,0.2315,941.9500847
1999,2520,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.52,1.48,-0.532216814,0.018021256,-0.8575587,0.878618874,50,53.68987745,0.1135,2959.605051,744,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.744,0.504,-0.389464767,0.089429477,0.043848935,0.712220635,-0.075577938,50,1.770918162,0.1135,897.65473
2000,1500,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.5,3.409,0.820953885,0.089429477,0.349566362,0.712220635,50,37.36893204,0.0945,1753.030295,739,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.739,0.599,-0.210036323,0.164794193,1.208955494,0.068331798,0.006402263,25,2.171616102,0.0945,846.1309951
2001,1810,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.81,1.68,-0.074533052,0.164794193,0.043848935,0.068331798,50,36.82987888,0.0615,2021.129333,1258,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.258,0.484,-0.955193531,0.244417472,0.957037363,-0.833293441,-0.089241305,25,6.319925206,0.0615,1373.80919
2002,3160,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,3.16,1.002,-1.148574025,0.244417472,1.208955494,-0.833293441,50,74.91,0.1025,3660.066852,1114,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.114,0.299,-1.315268847,0.32863022,-0.677578311,-0.229195487,-0.46400794,25,8.428186855,0.1025,1278.471517
2003,1480,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.48,1.305,-0.125839047,0.32863022,0.957037363,-0.229195487,50,34.38,0.1385,1815.87928,917,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.917,0.331,-1.018989097,0.417795225,-0.604821845,0.506031513,-1.014446434,25,8.031007662,0.1385,1102.763793
2004,950,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.95,0.885,-0.07087434,0.417795225,-0.677578311,0.506031513,50,13.8,0.1455,1186.42481,254,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.254,0.276,0.083066599,0.512310537,-1.394178981,1.452873665,-1.404828346,25,11.05797697,0.1455,339.4476032
2005,2440,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.44,0.728,-1.20945227,0.512310537,-0.604821845,1.452873665,50,26.22,0.212,3193.172589,384,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.384,0.384,0,0.612613219,-0.444916951,0.383041511,0.008354173,25,2.167112016,0.212,521.7856751
2006,1660,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.66,0.739,-0.80927496,0.612613219,-1.394178981,0.383041511,50,34.29,0.12,1982.147727,552,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.552,0.436,-0.235905803,0.719183501,-0.153711628,1.568628962,-1.326751963,25,0,0.12,655.6818182
2007,740,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.74,1.333,0.588537134,0.719183501,-0.444916951,1.568628962,50,18.81,0.163,966.3201912,374,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.374,0.564,0.410798454,0.832549405,-0.726701229,1.142685644,-1.728845332,25,1.568181818,0.163,479.0539807
2008,1160,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.16,1.177,0.014548823,0.832549405,-0.153711628,1.142685644,50,18.84,0.105,1373.005587,158,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.158,1.003,1.848155755,0.953291862,-1.05744239,1.352492119,-0.90123568,25,0,0.105,204.9162011
2009,690,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.69,1.802,0.959960841,0.953291862,-0.726701229,1.352492119,50,0,0.071,796.555436,350,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.35,0.696,0.687416506,1.082050403,0.892618701,0.651629972,-0.28638417,25,0,0.071,403.6598493
2010,590,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.59,1.031,0.558161947,1.082050403,-1.05744239,0.651629972,50,20.49,0.1,733.8777778,144,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.144,0.302,0.740613718,1.219529475,2.060984338,0.087322902,1.741649859,25,0,0.1,187.7777778
2011,520,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.52,0.419,-0.215957892,1.219529475,0.892618701,0.087322902,50,0,0.1,633.3333333,374,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.374,0.228,-0.494910168,1.366505446,1.737063217,-0.769989763,1.054577695,25,0,0.1,443.7777778
2012,1000,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1,0.334,-1.096614286,1.366505446,2.060984338,-0.769989763,50,28.17,0.2,1347.7125,307,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.307,0.141,-0.778087857,1.523834391,1.934065045,-0.735624909,0.578311763,25,0,0.2,415
2013,1090,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.09,0.22,-1.600305429,1.523834391,1.737063217,-0.735624909,50,34.2,0.113,1323.78805,374,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.374,0.112,-1.205756926,1.692460731,0.22747257,-0.53305314,0.06691146,25,0,0.11,448.3146067
2014,1300,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.3,0.286,-1.514127733,1.692460731,1.934065045,-0.53305314,50,23.22,0.25,1830.96,955,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.955,0.058,-2.80126833,1.87342683,0.985331147,-1.857004344,-0.194644421,25,0,0.25,1306.666667
2015,850,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.85,0.278,-1.117615236,1.87342683,0.22747257,-1.857004344,50,13.56,0.24,1202.052632,418,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.418,0.027,-2.739644567,2.067883642,2.278528152,-1.798222358,-0.737275278,25,0,0.24,582.8947368
2016,360,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.36,0.208,-0.548565952,2.067883642,0.985331147,-1.798222358,40.19671534,1.77,0.2,502.4583942,134,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.134,0.039,-1.234278154,2.277102548,1.46155122,-1.348766246,-0.90123568,25,0,0.2,198.75
2017,240,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.24,0.154,-0.443686321,2.277102548,2.278528152,-1.348766246,26.82885477,1.46,0.2,335.3610685,187,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.187,0.11,-0.530628251,2.502488487,0.624354043,-0.788076528,-1.968930207,25,0,0.2,265
2018,150,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.15,0.377,0.921609893,2.502488487,1.46155122,-0.788076528,16.5,1,0.2,204.584962,71.71314741,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2019,258.4462416,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,119.5219124,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2020,285.9993698,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,23.90438247,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2021,218.1143437,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,11.95219124,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2022,122.9737773,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,11.95219124,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2023,396.0018205,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,131.4741036,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2024,219.0246123,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,95.61752988,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2025,536,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,198,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2026,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2027,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2028,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2029,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2030,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2031,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2032,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2033,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2034,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2035,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2036,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2037,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2038,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2039,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
2040,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,0.692679127,0.979347077,-0.57392923,,,,,#N/A,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
